Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
35479;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35660;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35662;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35908;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36622;2204109300 Visiega Cava Brut 0,75л;2203001000 Пиво Carlsberg 500мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37590;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37849;2204109300 Visiega Cava Brut 0,75л;2204218100 Вино Cappo Moscato 1 л;2204219500 Вино Sarmientos Chardonnna1л;22089069 К-ль Негроні;2208906900 Ром Кап.Морган голд 1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38958;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39267;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40015;2204109300 Visiega Cava Brut 0,75л;2206003900 Ігристе вино Fragolino Rosato 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40234;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40242;2204109300 Visiega Cava Brut 0,75л;2204213800 Вино Pinot Grigio 1л;22089069 К-ль Піна Колада;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40286;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41054;2204109300 Visiega Cava Brut 0,75л;22089069 К-ль Джин Гарден;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41292;2204109300 Visiega Cava Brut 0,75л;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42387;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42626;2204109300 Visiega Cava Brut 0,75л;2204213800 Вино Pinot Grigio 1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42852;2204109300 Visiega Cava Brut 0,75л;2204109300 Ігристе вино Valmarone Prosecco 0.75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42986;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43188;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43385;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44105;2204109300 Visiega Cava Brut 0,75л;2203001000 Пиво Grimbergen D.A. 330мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44289;2204109300 Visiega Cava Brut 0,75л;2208202900 Коньяк Старий Кахеті 5р.1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44258;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45451;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45704;2204109300 Visiega Cava Brut 0,75л;2204217800 Вино La Sastreria Garnacha Roble 1л;2208601100 Горілка Неміров Оригінал 1л;2203001000 Пиво Kronenbourg blanc 250мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48350;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48352;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49326;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49854;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50494;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51093;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51289;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52973;2204109300 Visiega Cava Brut 0,75л;2208601100 Горілка Козацька Рада 1л;2208701000 Єгермейстер 1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52990;2204109300 Visiega Cava Brut 0,75л;2208601100 Горілка Неміров Оригінал 1л;22089069 К-ль Маі Таі;22089069 К-ль Маргарита;22089069 К-ль Мохіто;22089069 К-ль Піна Колада;2203001000 Пиво Carlsberg 500мл;2203001000 Пиво Grimbergen D.A. 500мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53139;2204109300 Visiega Cava Brut 0,75л;2204109300 Ігристе вино Valmarone Prosecco 0.75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53237;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53900;2204109300 Visiega Cava Brut 0,75л;2204217900 Вино Zebo Moscato 1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54057;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54179;2204109300 Visiega Cava Brut 0,75л;2204217800 Вино Le Ginestre Chianti 1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54310;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54371;2204109300 Visiega Cava Brut 0,75л;22089069 К-ль Апероль сприц;2203001000 Пиво Carlsberg 330мл;2203001000 Пиво Carlsberg 500мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56365;2204109300 Visiega Cava Brut 0,75л;2206003900 Ігристе вино Fragolino Rosato 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56360;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57314;2204109300 Visiega Cava Brut 0,75л;22089069 К-ль Маі Таі;2208906900 Ром Кап.Морган голд 1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57979;2204109300 Visiega Cava Brut 0,75л;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58016;2204109300 Visiega Cava Brut 0,75л;2203001000 Пиво Carlsberg 500мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58018;2204109300 Visiega Cava Brut 0,75л;2203001000 Пиво Carlsberg 500мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58769;2204109300 Visiega Cava Brut 0,75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
